Artist,Artist_ko
"Agi Haines","아기 헤인스"
"Alexandra Daisy Ginsberg","알렉산드라 데이지 긴즈버그"
"Amy Karle","에이미 칼"
"Ani Liu","애니 리우"
"Anicka Yi","아니카 이"
"Anna Dumitriu","안나 두미트리우"
"Art Orienté Objet","아르 오리앙테 오브제"
"Candice Lin","캔디스 린"
"Cecilia Jonsson","세실리아 욘손"
"Center for Genomic Gastronomy","유전체 가스트로노미 센터"
"Charlotte Jarvis","샬럿 자비스"
"Claire Pentecost","클레어 펜테코스트"
"Dasha Tsapenko","다샤 차펜코"
"Eduardo Kac","에두아르도 칵"
"George Gessert","조지 게서트"
"Gilberto Esparza","힐베르토 에스파르자"
"HeHe","헤헤"
"Heather Dewey-Hagborg","헤더 듀이-해그보그"
"Jalila Essaïdi","잘릴라 에사이디"
"Jenna Sutela","제나 수텔라"
"Jes Fan","제스 팬"
"Joe Davis","조 데이비스"
"Maja Smrekar","마야 스므레카르"
"Marta de Menezes","마르타 데 메네제스"
"Michael Sedbon","마이클 세드본"
"Oron Catts & Ionat Zurr","오론 캣츠 & 이오낫 주르"
"Pamela Rosenkranz","파멜라 로젠크란츠"
"Paul Vanouse","폴 버누즈"
"Stelarc","스텔락"
"Wim Delvoye","빔 델보예"
"Xandra van der Eijk","잔드라 반 데르 에이크"
"Zbigniew Oksiuta","즈비그니에프 옥시우타"
"Špela Petrič","슈펠라 페트리치"
